【经文资讯】大正新修大藏经 第四册 No. 199《佛五百弟子自说本起经》
【版本记录】CBETA 电子佛典 V1.0 (Big5) 普及版，完成日期：1999/12/10
【编辑说明】本资料库由中华电子佛典协会（CBETA）依大正新修大藏经所编辑
【原始资料】萧镇国大德提供，维习安大德提供之高丽藏 CD 经文，北美某大德提供
【其它事项】本资料库可自由免费流通，详细内容请参阅【中华电子佛典协会资料库基本介绍】(http://ccbs.ntu.edu.tw/cbeta/result/cbintr.htm)
=========================================================================
# Taisho Tripitaka Vol. 4, No. 199 佛五百弟子自说本起经
# CBETA Chinese Electronic Tripitaka V1.0 (Big5) Normalized Version, Release Date: 1999/12/10
# Distributor: Chinese Buddhist Electronic Text Association (CBETA)
# Source material obtained from: Text as provided by Mr. Hsiao Chen-Kuo, Tripitaka Koreana as provided by Mr. Christian Wittern, Text as provided by Anonymous, USA
# Distributed free of charge. For details please read at http://ccbs.ntu.edu.tw/cbeta/result/cbintr_e.htm
=========================================================================
T04n0199_p0190a01┃
T04n0199_p0190a02┃　　No. 199
T04n0199_p0190a23┃　行诣进游于江河　　悦观辈类相娱乐
T04n0199_p0190a24┃　佛天中天亦如是　　与弟子俱而飞腾
T04n0199_p0190a25┃　佛至告诸弟子曰　　宁识前世所更历
T04n0199_p0190a26┃　为我各说谁行步　　而获其福不可量
T04n0199_p0190a27┃　彼迦叶仁佛弟子　　譬如师子历深山
T04n0199_p0190a28┃　设有所历无敢当　　则说前世所作行
T04n0199_p0190a29┃　采取于野燕麦耳　　少所施与辟支佛
T04n0199_p0190b01┃　解脱心乐无有漏　　奉于空行意寂寞
T04n0199_p0190b02┃　彼时心念有此愿　　寻即思惟於上法
T04n0199_p0190b03┃　与如是人俱合会　　於此终生郁单曰
T04n0199_p0190b04┃　用彼因缘福所致　　更历千反郁单曰
T04n0199_p0190b05┃　然後生于胜命天　　於中最特无有双
T04n0199_p0190b06┃　吾用彼福所造德　　亦复千反生忉利
T04n0199_p0190b07┃　著种种华香宝璎　　身微妙好而自在
T04n0199_p0190b08┃　既於天上寿终已　　便复则生郁单曰
T04n0199_p0190b09┃　用彼前世愿所致　　以作是福因缘故
T04n0199_p0190b10┃　生于富家梵志种　　财产众业无央数
T04n0199_p0190b11┃　在五乐中而不贪　　其於是佛无等伦
T04n0199_p0190b12┃　大哀所可讲说法　　诸力一心定众根
T04n0199_p0190b13┃　七觉之意八道行　　以为获致於此法
T04n0199_p0190b14┃　便尽诸漏手执灯　　与此众等最後俱
T04n0199_p0190b15┃　合会行正直离邪　　佛者如来所说善
T04n0199_p0190b16┃　奉禁戒人所志得　　如其意念所欲求
T04n0199_p0190b17┃　最後我身以具满　　为尽生死拔根株
T04n0199_p0190b18┃　我皆绝除诸爱结　　则为是佛法王子
T04n0199_p0190b19┃　第一止足常思道　　心空清净无所著
T04n0199_p0190b20┃　其志坚固无能转　　譬如大山不可动
T04n0199_p0190b21┃　如是迦叶尊　　在诸比丘僧
T04n0199_p0190b22┃　阿耨达大池　　自说本福缘
T04n0199_p0190b23┃　　舍利弗品第二(十偈)
T04n0199_p0190b24┃　吾为仙闲居　　於彼见沙门
T04n0199_p0190b25┃　辟支佛之尊　　身著绛衣被
T04n0199_p0190b26┃　睹之心欢喜　　为之浣衣服
T04n0199_p0190b27┃　复为缝袈裟　　数数为作礼
T04n0199_p0190b28┃　彼则愍念我　　便飞虚空中
T04n0199_p0190b29┃　上下出水火　　须臾忽不见
T04n0199_p0190c01┃　我即时叉手　　自心作是愿
T04n0199_p0190c02┃　令我得如是　　聪明大智慧
T04n0199_p0190c03┃　莫令生豪家　　亦勿生贱种
T04n0199_p0190c04┃　常生于中家　　志多作沙门
T04n0199_p0190c05┃　用是功德故　　吾以五百世
T04n0199_p0190c06┃　常获致人身　　世世作沙门
T04n0199_p0190c07┃　於是最後世　　复还得人种
T04n0199_p0190c08┃　以值见正觉　　导师无有上
T04n0199_p0190c09┃　则办为沙门　　於释师子所
T04n0199_p0190c10┃　成就阿罗汉　　清凉而灭度
T04n0199_p0190c11┃　今世尊目前　　於比丘僧众
T04n0199_p0190c12┃　论我智慧上　　转于正法轮
T04n0199_p0190c13┃　舍利弗智慧　　於比丘众前
T04n0199_p0190c14┃　阿耨达大池　　自说本宿行
T04n0199_p0190c15┃　　摩诃目揵连品第三(十五偈)
T04n0199_p0190c16┃　吾为仙闲居　　处于林树间
T04n0199_p0190c17┃　於彼有人来　　求我作沙门
T04n0199_p0190c18┃　吾除其须发　　为浣其衣服
T04n0199_p0190c19┃　缝之而染之　　心中自欢喜
T04n0199_p0190c20┃　彼退在一面　　而结跏趺坐
T04n0199_p0190c21┃　则得辟支佛　　便飞于虚空
T04n0199_p0190c22┃　我时即兴愿　　令身得神足
T04n0199_p0190c23┃　使吾得如是　　大力大神足
T04n0199_p0190c24┃　用是福德故　　在在所生处
T04n0199_p0190c25┃　天上及人中　　照耀所造福
T04n0199_p0190c26┃　於时最後世　　以逮得人身
T04n0199_p0190c27┃　如值见正觉　　导师无有上
T04n0199_p0190c28┃　以为作沙门　　於释师子所
T04n0199_p0190c29┃　则成阿罗汉　　清凉而灭度
T04n0199_p0191a01┃　所作善甚少　　得安隐无量
T04n0199_p0191a02┃　我复作不善　　今说且听之
T04n0199_p0191a03┃　东出罗阅只　　生为尊者子
T04n0199_p0191a04┃　出舍外游戏　　人家求饮食
T04n0199_p0191a05┃　即见其父母　　二人共相娱
T04n0199_p0191a06┃　见之即挝我　　骂詈而逐我
T04n0199_p0191a07┃　但以正命耳　　其身不施行
T04n0199_p0191a08┃　堕于黑绳狱　　受苦不可计
T04n0199_p0191a09┃　其彼余殃故　　於是最後世
T04n0199_p0191a10┃　诸外异道学　　挝碎身如苇
T04n0199_p0191a11┃　吾当以是疾　　寿终而灭度
T04n0199_p0191a12┃　彼所作余殃　　尔乃灭尽耳
T04n0199_p0191a13┃　是故当悦心　　至孝事父母
T04n0199_p0191a14┃　用欢悦心故　　人得胜天上
T04n0199_p0191a15┃　如是拘律尊　　在于比丘众
T04n0199_p0191a16┃　阿耨达大池　　自说本因缘
T04n0199_p0191a17┃　　轮提陀品第四(净除十七偈)
T04n0199_p0191a18┃　我昔往诣寺　　见地不净处
T04n0199_p0191a19┃　即取其扫帚　　便扫彼寺舍
T04n0199_p0191a20┃　竟睹寺清净　　心中甚忻踊
T04n0199_p0191a21┃　令我无垢尘　　如此寺舍净
T04n0199_p0191a22┃　用是功德故　　在在所生处
T04n0199_p0191a23┃　面色和悦姝　　端正难可比
T04n0199_p0191a24┃　其余之福祚　　於是最後世
T04n0199_p0191a25┃　父母则名吾　　号曰为净除
T04n0199_p0191a26┃　我於亲族中　　生时亦清净
T04n0199_p0191a27┃　一切所爱敬　　见者无厌极
T04n0199_p0191a28┃　值得见正觉　　导师而无上
T04n0199_p0191a29┃　已成阿罗汉　　清凉而灭度
T04n0199_p0191b01┃　我之所志愿　　使吾无垢尘
T04n0199_p0191b02┃　今无垢罗汉　　无漏所作办
T04n0199_p0191b03┃　假令扫除是　　普天下使净
T04n0199_p0191b04┃　不如为离欲　　除扫所经行
T04n0199_p0191b05┃　假扫除天下　　道人经行处
T04n0199_p0191b06┃　不如四方僧　　扫除一步地
T04n0199_p0191b07┃　设复扫除是　　满天下精舍
T04n0199_p0191b08┃　不如於佛寺　　扫除一步地
T04n0199_p0191b09┃　我身所造福　　以是知差特
T04n0199_p0191b10┃　当扫除佛寺　　其心怀欣踊
T04n0199_p0191b11┃　以此晓知之　　等觉道德高
T04n0199_p0191b12┃　当供事佛寺　　获其祚甚大
T04n0199_p0191b13┃　唯君吾识念　　昔曾所作善
T04n0199_p0191b14┃　以致彼果实　　可意安隐乐
T04n0199_p0191b15┃　是故为佛寺　　好净心供事
T04n0199_p0191b16┃　唯仁此第一　　福田无有上
T04n0199_p0191b17┃　於是能供事　　得安而无量
T04n0199_p0191b18┃　皆为破坏除　　一切淫怒疑
T04n0199_p0191b19┃　不轻空心悦　　得福薄少乎
T04n0199_p0191b20┃　向如来正觉　　及诸佛弟子
T04n0199_p0191b21┃　如是轮提陀　　在诸比丘前
T04n0199_p0191b22┃　阿耨达大池　　自说本所因
T04n0199_p0191b23┃　　须鬘品第五(善念十四偈)
T04n0199_p0191b24┃　昔者出游观　　时与亲友俱
T04n0199_p0191b25┃　头上戴傅饰　　耳著须鬘花
T04n0199_p0191b26┃　惟卫神通佛　　於彼立大寺
T04n0199_p0191b27┃　遥见众庶人　　共住而奉事
T04n0199_p0191b28┃　亲友俱发家　　各共赍好华
T04n0199_p0191b29┃　悉以清净心　　供散彼佛寺
T04n0199_p0191c01┃　我时见广施　　亦复初发意
T04n0199_p0191c02┃　便取林中华　　以用上佛寺
T04n0199_p0191c03┃　所生不堕余　　升天下为人
T04n0199_p0191c04┃　因是德本故　　所作善照见
T04n0199_p0191c05┃　後值等正觉　　无上之导师
T04n0199_p0191c06┃　果证阿罗汉　　清凉得灭度
T04n0199_p0191c07┃　唯施一华耳　　更得百千岁
T04n0199_p0191c08┃　天上自娱乐　　余福得泥洹
T04n0199_p0191c09┃　假令我素知　　佛功德无量
T04n0199_p0191c10┃　便即起塔寺　　其福无有极
T04n0199_p0191c11┃　未必心欢喜　　其福犹为少
T04n0199_p0191c12┃　如来等正觉　　及诸佛弟子
T04n0199_p0191c13┃　唯我忆念此　　身所作功德
T04n0199_p0191c14┃　今已得实报　　可意快安隐
T04n0199_p0191c15┃　缘是所作行　　终始断不生
T04n0199_p0191c16┃　无漏无所著　　清凉得灭度
T04n0199_p0191c17┃　五道为已尽　　不复更胞胎
T04n0199_p0191c18┃　是为最後世　　然则不复起
T04n0199_p0191c19┃　解脱生死本　　已度所有海
T04n0199_p0191c20┃　今我以是缘　　得号曰须蔓
T04n0199_p0191c21┃　时长者须蔓　　会在众僧中
T04n0199_p0191c22┃　於阿耨达池　　自说本所作
T04n0199_p0191c23┃　　轮论品第六(明听十一偈)
T04n0199_p0191c24┃　惟卫佛世时　　盘头摩国土
T04n0199_p0191c25┃　本为四方僧　　兴立一房室
T04n0199_p0191c26┃　加以床卧具　　皆用持布施
T04n0199_p0191c27┃　既与心欢喜　　应时发是愿
T04n0199_p0191c28┃　我见等正觉　　令得作沙门
T04n0199_p0191c29┃　逮无上无为　　清凉正灭度
T04n0199_p0192a01┃　是因功德本　　九十一劫安
T04n0199_p0192a02┃　既得自然见　　在天上世间
T04n0199_p0192a03┃　其余功德福　　於今最後世
T04n0199_p0192a04┃　生[敖/力]长者家　　憍贵无兄弟
T04n0199_p0192a05┃　生为父所敬　　即闻垂言教
T04n0199_p0192a06┃　吾以子施与　　宝藏亿种种
T04n0199_p0192a07┃　足底生异毛　　自然长四寸
T04n0199_p0192a08┃　身体柔软好　　稳安得无害
T04n0199_p0192a09┃　过去九十劫　　其余复如一
T04n0199_p0192a10┃　我身不识念　　举足蹈地时
T04n0199_p0192a11┃　於今最後世　　已还得人身
T04n0199_p0192a12┃　成就无所著　　清凉为灭度
T04n0199_p0192a13┃　佛普见说我　　精进尊第一
T04n0199_p0192a14┃　解脱尽无漏　　已得不动句
T04n0199_p0192a15┃　如是拘梨种　　在众僧中央
T04n0199_p0192a16┃　於阿耨达池　　自说本功德
T04n0199_p0192a17┃　　凡耆品第七(取善八偈)
T04n0199_p0192a18┃　我不了福德　　本亦不识义
T04n0199_p0192a19┃　见惟卫佛寺　　供养而奉侍
T04n0199_p0192a20┃　金寺紫磨色　　幡繖以香华
T04n0199_p0192a21┃　见供养塔寺　　而得生善处
T04n0199_p0192a22┃　常在天人间　　所作得照见
T04n0199_p0192a23┃　过九十一劫　　未曾归恶道
T04n0199_p0192a24┃　作少功德已　　获安甚众多
T04n0199_p0192a25┃　已得无所著　　灭度清且凉
T04n0199_p0192a26┃　假使我本知　　佛功德如是
T04n0199_p0192a27┃　常当供塔寺　　所得福逾此
T04n0199_p0192a28┃　是故用知明　　正觉德弘泰
T04n0199_p0192a29┃　当供养塔寺　　其福无终极
T04n0199_p0192b01┃　佛普见说我　　经乐为第一
T04n0199_p0192b02┃　多闻若干种　　辩才德至真
T04n0199_p0192b03┃　时长者凡耆　　曾在众僧中
T04n0199_p0192b04┃　於阿耨达池　　自说本所作
T04n0199_p0192b05┃　　宾头卢品第八(乞闭门十一偈)
T04n0199_p0192b06┃　我本经父母　　生为子中尊
T04n0199_p0192b07┃　谨敬事其父　　亦孝养於母
T04n0199_p0192b08┃　二亲及妹弟　　奴客僮仆使
T04n0199_p0192b09┃　吾为父母说　　饮食以时节
T04n0199_p0192b10┃　时起贪嫉意　　不当食父母
T04n0199_p0192b11┃　镇恚谤於语　　能得饭食财
T04n0199_p0192b12┃　缘是所作罪　　堕大山地狱
T04n0199_p0192b13┃　烧炙黑绳中　　更苦不可计
T04n0199_p0192b14┃　从地狱中出　　世世所生处
T04n0199_p0192b15┃　常患大饿渴　　勤苦而饥死
T04n0199_p0192b16┃　於今最後世　　已还得人身
T04n0199_p0192b17┃　值见等正觉　　导师无有上
T04n0199_p0192b18┃　於释师子所　　已得作寂志
T04n0199_p0192b19┃　成为无著道　　清凉而灭度
T04n0199_p0192b20┃　唯仁我於是　　神足能飞行
T04n0199_p0192b21┃　还入坎窟中　　尔乃得食耳
T04n0199_p0192b22┃　是故当欢喜　　供事於父母
T04n0199_p0192b23┃　一心稽首礼　　保祚无有量
T04n0199_p0192b24┃　唯仁我识念　　削所作恶行
T04n0199_p0192b25┃　皆受所种实　　罪福不可离
T04n0199_p0192b26┃　宾头卢闭门　　时会在僧中
T04n0199_p0192b27┃　於阿耨达池　　自说本所作
T04n0199_p0192b28┃　　货竭品第九(善来二十一偈)
T04n0199_p0192b29┃　曾为尊者子　　在般头摩国
T04n0199_p0192c01┃　族姓多财宝　　眷属所围绕
T04n0199_p0192c02┃　周匝在王边　　快乐无有极
T04n0199_p0192c03┃　端正见者喜　　颜色难为比
T04n0199_p0192c04┃　时我严驾出　　诸众导前後
T04n0199_p0192c05┃　欲行遍游观　　并从众婇女
T04n0199_p0192c06┃　於彼游观时　　见相寂沙门
T04n0199_p0192c07┃　奉行安定仪　　身服赤绛衣
T04n0199_p0192c08┃　时我见沙门　　兴发起恶意
T04n0199_p0192c09┃　憎恶其形像　　镇恚不欢喜
T04n0199_p0192c10┃　为何下须发　　颜姿黑丑陋
T04n0199_p0192c11┃　痈疽疥身体　　羸疲身意俱
T04n0199_p0192c12┃　用是所造罪　　口说恶语故
T04n0199_p0192c13┃　於彼寿终後　　便堕地狱中
T04n0199_p0192c14┃　从狱得脱出　　容色黑丑恶
T04n0199_p0192c15┃　痈疽疥身体　　羸疲身意俱
T04n0199_p0192c16┃　捉瓦器乞丐　　著弃死人衣
T04n0199_p0192c17┃　衣弊服麤秽　　所住无安处
T04n0199_p0192c18┃　所欲往至诣　　乞欲系糊口
T04n0199_p0192c19┃　执杖见驱叱　　为人所嫉辱
T04n0199_p0192c20┃　如是五百世　　在在所生处
T04n0199_p0192c21┃　穷困常饥馁　　勤苦而饿死
T04n0199_p0192c22┃　时见等正觉　　比丘僧围绕
T04n0199_p0192c23┃　与大众会俱　　讲说甘露句
T04n0199_p0192c24┃　适见大众会　　即疾奔走趣
T04n0199_p0192c25┃　意欲於彼中　　希望饮食具
T04n0199_p0192c26┃　到见大众会　　皆坐欲听法
T04n0199_p0192c27┃　不获副本愿　　未有饩施者
T04n0199_p0192c28┃　时彼大慈哀　　如来告之言
T04n0199_p0192c29┃　仁者善来此　　便来坐此座
T04n0199_p0193a01┃　我应时喜踊　　则一心叉手
T04n0199_p0193a02┃　稽首世尊足　　却在一面坐
T04n0199_p0193a03┃　於是尊大哀　　瞿昙极慈悲
T04n0199_p0193a04┃　次第分别说　　为我讲四谛
T04n0199_p0193a05┃　能仁除须发　　因是见道迹
T04n0199_p0193a06┃　佛令作寂志　　於彼得神通
T04n0199_p0193a07┃　用是故号字　　名曰为茶竭
T04n0199_p0193a08┃　缘此佛说我　　正受为第一
T04n0199_p0193a09┃　佛勇猛大尊　　世雄为最胜
T04n0199_p0193a10┃　神通无极哀　　度脱我众苦
T04n0199_p0193a11┃　善来尊如是　　在於众僧中
T04n0199_p0193a12┃　於阿耨达池　　自说本所作
T04n0199_p0193a13┃　　难陀品第十(欣乐十二偈)
T04n0199_p0193a14┃　王舍国城东　　曾为富尊者
T04n0199_p0193a15┃　时世谷饥贵　　有道士游彼
T04n0199_p0193a16┃　时我坐独食　　有好道士来
T04n0199_p0193a17┃　坏破缘一觉　　自在得无漏
T04n0199_p0193a18┃　兴起贪嫉意　　其心志于恶
T04n0199_p0193a19┃　今此比丘来　　焉得同太岁
T04n0199_p0193a20┃　於是念饮食　　杂糅以马通
T04n0199_p0193a21┃　道人食之已　　应时即命过
T04n0199_p0193a22┃　我身寿终已　　堕地狱甚久
T04n0199_p0193a23┃　合会及叫唤　　世世见脯煮
T04n0199_p0193a24┃　从地狱得出　　便还得人身
T04n0199_p0193a25┃　身常多疾病　　懊恼而命尽
T04n0199_p0193a26┃　如是五百世　　在在所生处
T04n0199_p0193a27┃　抱病常穷厄　　懊恼乃命过
T04n0199_p0193a28┃　於是最後世　　已得生人中
T04n0199_p0193a29┃　还见等正觉　　导师无有上
T04n0199_p0193b01┃　出家为沙门　　受释师子法
T04n0199_p0193b02┃　已得罗汉道　　清凉取灭度
T04n0199_p0193b03┃　吾於是仁者　　神足无有漏
T04n0199_p0193b04┃　身体多疾病　　所在不安隐
T04n0199_p0193b05┃　於是悉识念　　我本所作行
T04n0199_p0193b06┃　皆获其果实　　罪福不可离
T04n0199_p0193b07┃　如是难陀尊　　在比丘众中
T04n0199_p0193b08┃　於阿耨达池　　自说本所作
T04n0199_p0193b09┃　　夜耶品第十一(名闻二十六偈)
T04n0199_p0193b10┃　昔有一道人　　入聚落乞丐
T04n0199_p0193b11┃　见死亡女人　　青[月*逢]甚臭恶
T04n0199_p0193b12┃　结跏趺而坐　　观视无常变
T04n0199_p0193b13┃　省察败不净　　一志学定心
T04n0199_p0193b14┃　便於彼坐上　　有微细音响
T04n0199_p0193b15┃　闻声用恐怖　　则从一心起
T04n0199_p0193b16┃　见死腹溃坏　　恶露而不净
T04n0199_p0193b17┃　众孔自流出　　臭处难可当
T04n0199_p0193b18┃　肠胃五脏见　　心肝皆散绝
T04n0199_p0193b19┃　若干无数虫　　观已还静心
T04n0199_p0193b20┃　察于外死身　　内省自己躯
T04n0199_p0193b21┃　彼尔我如是　　计本皆虚无
T04n0199_p0193b22┃　自从三昧起　　修行不懈怠
T04n0199_p0193b23┃　亦不出分卫　　亦不思饮食
T04n0199_p0193b24┃　设我入聚落　　而行求饮食
T04n0199_p0193b25┃　虽见端正色　　当作恶露观
T04n0199_p0193b26┃　瞻彼诸形色　　如死人无异
T04n0199_p0193b27┃　察众坏败本　　一切无所乐
T04n0199_p0193b28┃　我思行如是　　而得离爱欲
T04n0199_p0193b29┃　奉遵四梵行　　深惟不轻戏
T04n0199_p0193c01┃　於彼寿终後　　便得升梵天
T04n0199_p0193c02┃　於梵寿命尽　　下生波罗奈
T04n0199_p0193c03┃　为势贵长者　　生其家作子
T04n0199_p0193c04┃　为众所见敬　　正受度无极
T04n0199_p0193c05┃　昼日常修行　　於夜不睡眠
T04n0199_p0193c06┃　见女人众多　　等观如腐积
T04n0199_p0193c07┃　枕鼓卧眠者　　执箜篌伎人
T04n0199_p0193c08┃　伎乐器散地　　梦想为[穴/(爿*臬)]语
T04n0199_p0193c09┃　於彼退思念　　宿本功德行
T04n0199_p0193c10┃　想识不净处　　前世所更历
T04n0199_p0193c11┃　适观睹此已　　志求无欲意
T04n0199_p0193c12┃　我时逼迫是　　仁者我舍去
T04n0199_p0193c13┃　即从床上起　　下殿避之逝
T04n0199_p0193c14┃　诸天愍念我　　其门自然开
T04n0199_p0193c15┃　时出于国城　　往诣流水侧
T04n0199_p0193c16┃　遥视见彼岸　　见沙门寂根
T04n0199_p0193c17┃　又见大寂志　　举声而大叫
T04n0199_p0193c18┃　告之我穷厄　　神通我舍欲
T04n0199_p0193c19┃　世尊深软音　　用我辛苦言
T04n0199_p0193c20┃　童子来莫惧　　於此无穷厄
T04n0199_p0193c21┃　心舍众苦恼　　转度於彼岸
T04n0199_p0193c22┃　往诣大哀所　　世尊无比人
T04n0199_p0193c23┃　绝妙无等伦　　譬如饥渴者
T04n0199_p0193c24┃　倒解识其义　　即解识其义
T04n0199_p0193c25┃　於彼见道谛　　从佛求舍家
T04n0199_p0193c26┃　瞿昙大慈哀　　听我作沙门
T04n0199_p0193c27┃　应时一夜中　　天时将向晓
T04n0199_p0193c28┃　一切诸漏尽　　清凉得灭度
T04n0199_p0193c29┃　是我前世时　　所更作善行
T04n0199_p0194a01┃　是我最後世　　逮得甘露迹
T04n0199_p0194a02┃　如是贤夜邪　　尊者子神通
T04n0199_p0194a03┃　於阿耨达池　　自说本所作
T04n0199_p0194a04┃　　尸利罗品第十二(二十偈)
T04n0199_p0194a05┃　昔波罗奈城　　迦叶佛泥洹
T04n0199_p0194a06┃　机惟王起塔　　七宝造甚大
T04n0199_p0194a07┃　尔时王所作　　有最大太子
T04n0199_p0194a08┃　我时为佛尊　　第一建刹柱
T04n0199_p0194a09┃　以是功德故　　世世所生处
T04n0199_p0194a10┃　在天上人间　　其福自然见
T04n0199_p0194a11┃　在在所生处　　於国甚殷富
T04n0199_p0194a12┃　财数不可计　　常喜大布施
T04n0199_p0194a13┃　我於五百世　　惠施无所惜
T04n0199_p0194a14┃　给赡众庶人　　寂志及梵志
T04n0199_p0194a15┃　缘一觉之行　　离爱欲无漏
T04n0199_p0194a16┃　清净欢喜心　　供养五百众
T04n0199_p0194a17┃　由是功德故　　在此最後世
T04n0199_p0194a18┃　生势贵释种　　应时口说言
T04n0199_p0194a19┃　家中宁有宝　　钱财及於物
T04n0199_p0194a20┃　我当以施与　　救足诸贫穷
T04n0199_p0194a21┃　我与无厌惫　　救济众下劣
T04n0199_p0194a22┃　孚善见答报　　岂能有所惠
T04n0199_p0194a23┃　家中闻吾言　　愁忧用惶懅
T04n0199_p0194a24┃　驰散赴八方　　乳母悉避去
T04n0199_p0194a25┃　母以恩爱故　　便即告我言
T04n0199_p0194a26┃　为天人鬼神　　何以言大疾
T04n0199_p0194a27┃　我时即启曰　　我是人非鬼
T04n0199_p0194a28┃　追识宿命施　　好欲见惠人
T04n0199_p0194a29┃　时母闻其言　　踊跃无所畏
T04n0199_p0194b01┃　然许劝助之　　恣意所布施
T04n0199_p0194b02┃　家中眷属多　　母敕供养我
T04n0199_p0194b03┃　为众所敬爱　　见者莫不喜
T04n0199_p0194b04┃　我尔时适生　　其家即兴炽
T04n0199_p0194b05┃　缘是诸寂志　　名我尸利罗
T04n0199_p0194b06┃　於彼便布施　　给足诸贫陋
T04n0199_p0194b07┃　得值等正觉　　便舍家为道
T04n0199_p0194b08┃　初生家兴炽　　堕地能语言
T04n0199_p0194b09┃　是故号尸利　　其名自然流
T04n0199_p0194b10┃　生家无所贪　　亦不用恐惧
T04n0199_p0194b11┃　缘信出家学　　神通一切具
T04n0199_p0194b12┃　为国主所钦　　大臣众人民
T04n0199_p0194b13┃　多获衣食供　　床卧诸所安
T04n0199_p0194b14┃　如是尸利罗　　在比丘僧中
T04n0199_p0194b15┃　於阿耨达池　　自说本所作
T04n0199_p0194b16┃　　薄拘卢品第十三(贾姓十二偈)
T04n0199_p0194b17┃　我昔曾卖药　　於盘昙摩国
T04n0199_p0194b18┃　在惟卫佛世　　敬诸比丘僧
T04n0199_p0194b19┃　时有病瘦者　　行药疗其疾
T04n0199_p0194b20┃　供给诸根药　　以惠诸比丘
T04n0199_p0194b21┃　一岁诸众僧　　令无所乏少
T04n0199_p0194b22┃　时施诸沙门　　与一呵梨勒
T04n0199_p0194b23┃　於九十一劫　　未曾归恶道
T04n0199_p0194b24┃　在天上人间　　其福自然见
T04n0199_p0194b25┃　所作德少耳　　受福不可量
T04n0199_p0194b26┃　施一呵梨勒　　长久生善处
T04n0199_p0194b27┃　其余所有福　　今还得人身
T04n0199_p0194b28┃　值见平等觉　　导师无有一
T04n0199_p0194b29┃　未曾自识念　　郡县受施处
T04n0199_p0194c01┃　唯仁我二夜　　证通三达智
T04n0199_p0194c02┃　常衣麤恶服　　五纳之震越
T04n0199_p0194c03┃　弃家行学道　　愿乐在闲居
T04n0199_p0194c04┃　其年百六十　　於此无垢浊
T04n0199_p0194c05┃　未曾有疾病　　所生处常安
T04n0199_p0194c06┃　佛普见说法　　少欲无睡眠
T04n0199_p0194c07┃　观布施药者　　其福广如是
T04n0199_p0194c08┃　今我悉识念　　本殖少功德
T04n0199_p0194c09┃　悉获其果实　　可意而安隐
T04n0199_p0194c10┃　时贤薄拘卢　　在众比丘僧
T04n0199_p0194c11┃　於阿耨达池　　自说本所作
T04n0199_p0194c12┃　　摩呵[酉*且]品第十四(大长十二偈)
T04n0199_p0194c13┃　昔作韦皮师　　本生亦安隐
T04n0199_p0194c14┃　时国大谷贵　　柔皮以为韦
T04n0199_p0194c15┃　时得好殷皮　　煮熟令大美
T04n0199_p0194c16┃　时有沙门来　　乞丐欲求食
T04n0199_p0194c17┃　见之即欢喜　　则分用布施
T04n0199_p0194c18┃　其寂志食已　　寻飞在虚空
T04n0199_p0194c19┃　见道人踊跃　　应时叉手向
T04n0199_p0194c20┃　恭敬普所在　　所游辄追随
