【经文资讯】大正新修大藏经 第十七册 No. 726《六趣轮回经》
【版本记录】CBETA 电子佛典 V1.16 (Big5) 普及版，完成日期：2001/07/27
【编辑说明】本资料库由中华电子佛典协会（CBETA）依大正新修大藏经所编辑
【原始资料】萧镇国大德提供，维习安大德提供之高丽藏 CD 经文，北美某大德提供
【其它事项】本资料库可自由免费流通，详细内容请参阅【中华电子佛典协会资料库基本介绍】(http://www.cbeta.org/cbeta/result/cbintr.htm)
=========================================================================
# Taisho Tripitaka Vol. 17, No. 726 六趣轮回经
# CBETA Chinese Electronic Tripitaka V1.16 (Big5) Normalized Version, Release Date: 2001/07/27
# Distributor: Chinese Buddhist Electronic Text Association (CBETA)
# Source material obtained from: Text as provided by Mr. Hsiao Chen-Kuo, Tripitaka Koreana as provided by Mr. Christian Wittern, Text as provided by Anonymous, USA
# Distributed free of charge. For details please read at http://www.cbeta.org/cbeta/result/cbintr_e.htm
=========================================================================
T17n0726_p0455a13║
T17n0726_p0455a14║
T17n0726_p0455a15║　　No. 726
T17n0726_p0455c13║　猘狗及雕鹫　　奔逐竞分食
T17n0726_p0455c14║　若劫夺他财　　当受其极苦
T17n0726_p0455c15║　常吞热铁丸　　复灌以铜汁
T17n0726_p0455c16║　无辜害众生　　当堕铁鹰狱
T17n0726_p0455c17║　利爪而搏击　　长时受苦恼
T17n0726_p0455c18║　若人好伤杀　　水族诸物命
T17n0726_p0455c19║　后堕镕铜河　　为业火烧煮
T17n0726_p0455c20║　若自贪盛事　　而掩斥他善
T17n0726_p0455c21║　堕彼铁磨狱　　悲号无救度
T17n0726_p0455c22║　若人不饶益　　当受多种形
T17n0726_p0455c23║　两山夹其身　　逼切复加[打-丁+屑]
T17n0726_p0455c24║　若人说非法　　破坏于桥梁
T17n0726_p0455c25║　锋刃以为路　　驱彼而来往
T17n0726_p0455c26║　以甲伤蚤虱　　堕二羺头山
T17n0726_p0455c27║　相击死还生　　展转而受苦
T17n0726_p0455c28║　依止出离道　　而不护禁戒
T17n0726_p0455c29║　堕煻煨狱中　　肢体皆消烂
T17n0726_p0456a01║　矫现诸威仪　　苟求邪活命
T17n0726_p0456a02║　堕尸粪狱中　　为蛆虫[口*(一/巾)]食
T17n0726_p0456a03║　见五谷中虫　　不择而砻伐
T17n0726_p0456a04║　堕铁碓狱中　　常为彼舂捣
T17n0726_p0456a05║　见他苦生喜　　谄曲多疑惑
T17n0726_p0456a06║　常怀忿恶心　　作焰摩罗卒
T17n0726_p0456a07║　诸苦果种子　　少略而分别
T17n0726_p0456a08║　清净身语心　　毕竟常远离
T17n0726_p0456a09║地狱趣竟
T17n0726_p0456a10║　若人不乐施　　复盗众饮食
T17n0726_p0456a11║　堕大瘿鬼中　　常啖诸粪秽
T17n0726_p0456a12║　若障人布施　　于己物生吝
T17n0726_p0456a13║　堕针口鬼中　　腹大常饥渴
T17n0726_p0456a14║　无嗣悭财物　　不舍不受用
T17n0726_p0456a15║　堕匮乏鬼中　　得他享残弃
T17n0726_p0456a16║　希望他施惠　　自少施生悔
T17n0726_p0456a17║　堕下劣鬼中　　常食于涎吐
T17n0726_p0456a18║　乐闻他过失　　加恶语宣传
T17n0726_p0456a19║　堕焰口鬼中　　长受诸苦恼
T17n0726_p0456a20║　好起诸斗诤　　无少慈愍心
T17n0726_p0456a21║　堕疲极鬼中　　食蜎蠕虫类
T17n0726_p0456a22║　恐胁取他财　　得已或少施
T17n0726_p0456a23║　堕极丑鬼中　　他怖获微祀
T17n0726_p0456a24║　若人多宴乐　　广杀诸物命
T17n0726_p0456a25║　自食复与他　　后堕罗刹鬼
T17n0726_p0456a26║　于供养香花　　或嗅或私取
T17n0726_p0456a27║　由起少贪心　　后作寻香鬼
T17n0726_p0456a28║　若人相崇奉　　于己有所求
T17n0726_p0456a29║　怒色希彼财　　后作猛恶鬼
T17n0726_p0456b01║　若人于他娶　　常乐作媒伐
T17n0726_p0456b02║　后怀恶相离　　死作步多鬼
T17n0726_p0456b03║　若人乐饮酒　　过量复颠酗
T17n0726_p0456b04║　或持劝他人　　后作药叉鬼
T17n0726_p0456b05║　于父母师长　　所欲相违背
T17n0726_p0456b06║　后生药叉宫　　勇健多卒暴
T17n0726_p0456b07║　彼悭贪过失　　常生饿鬼中
T17n0726_p0456b08║　苦乐随自因　　是故勿复造
T17n0726_p0456b09║饿鬼趣竟
T17n0726_p0456b10║　人天三恶趣　　唯自能救拔
T17n0726_p0456b11║　奔驰六趣中　　如梦境和合
T17n0726_p0456b12║　睹自他眷属　　伤叹岂长久
T17n0726_p0456b13║　如彼俳优人　　数数易形色
T17n0726_p0456b14║　受地狱苦毕　　或生于天中
T17n0726_p0456b15║　福尽复沉沦　　堕彼畜生趣
T17n0726_p0456b16║　受种种形色　　后得生人间
T17n0726_p0456b17║　贫苦极艰辛　　譬车轮旋转
T17n0726_p0456b18║畜生趣竟
T17n0726_p0456b19║　彼人趣寿命　　分量本长远
T17n0726_p0456b20║　多造杀生因　　由此而减少
T17n0726_p0456b21║　萦缠诸病苦　　癞瘦时疫等
T17n0726_p0456b22║　为鬼魅所着　　及王法捶打
T17n0726_p0456b23║　若人于财利　　劳役广希求
T17n0726_p0456b24║　无少惠施心　　后作守财鬼
T17n0726_p0456b25║　若人盗他财　　用已或能施
T17n0726_p0456b26║　后堕鬼趣中　　随得随散失
T17n0726_p0456b27║　若人于己财　　随分而行施
T17n0726_p0456b28║　当获于富饶　　不为他侵损
T17n0726_p0456b29║　若人以净财　　离悭广行施
T17n0726_p0456c01║　得上妙饮食　　所欲皆如意
T17n0726_p0456c02║　若人以珍馔　　净心而奉施
T17n0726_p0456c03║　其所得福报　　色力命安隐
T17n0726_p0456c04║　若人以衣施　　彼得生爱乐
T17n0726_p0456c05║　获色相端严　　具惭愧衣服
T17n0726_p0456c06║　若人造僧坊　　欢喜而用施
T17n0726_p0456c07║　感宫殿庄严　　五欲皆具足
T17n0726_p0456c08║　若人建桥梁　　及车乘等施
T17n0726_p0456c09║　得最上安隐　　珍宝之辇舆
T17n0726_p0456c10║　若人于旷野　　施池井泉流
T17n0726_p0456c11║　于在所生处　　无渴乏热恼
T17n0726_p0456c12║　若人以嬖妾　　严饰而为施
T17n0726_p0456c13║　彼所得果报　　具欲乐富贵
T17n0726_p0456c14║　若人以经教　　及世俗文典
T17n0726_p0456c15║　能持施于他　　感博学大智
T17n0726_p0456c16║　若人以医药　　及以无畏施
T17n0726_p0456c17║　彼所得果报　　安乐离恐怖
T17n0726_p0456c18║　若施以灯明　　其眼常清净
T17n0726_p0456c19║　若施以音乐　　得其声美妙
T17n0726_p0456c20║　若施以卧具　　获安隐快乐
T17n0726_p0456c21║　若施以僮仆　　营从常围绕
T17n0726_p0456c22║　施乳牛等物　　得色力寿命
T17n0726_p0456c23║　若施以良田　　得仓库盈溢
T17n0726_p0456c24║　如彼彼求者　　各各随所欲
T17n0726_p0456c25║　花果及清泉　　爱语善安慰
T17n0726_p0456c26║　复有虽行施　　役他而少与
T17n0726_p0456c27║　因恐怖发心　　及希他赞誉
T17n0726_p0456c28║　或求现富贵　　生天受快乐
T17n0726_p0456c29║　如是等行施　　获福极微少
T17n0726_p0457a01║　若乐行利他　　不惜于身命
T17n0726_p0457a02║　常怀悲愍心　　圣果不难得
T17n0726_p0457a03║　诸有来乞者　　依时而给与
T17n0726_p0457a04║　令彼生忻悦　　感果得如意
T17n0726_p0457a05║　施彼若艰难　　受报时亦尔
T17n0726_p0457a06║　辍己惠于他　　最上安乐法
T17n0726_p0457a07║　施为诸乐本　　如种生其果
T17n0726_p0457a08║　愍彼来希求　　随与无空返
T17n0726_p0457a09║　慎勿侵外色　　视之如己子
T17n0726_p0457a10║　设复于自妻　　举心即令止
T17n0726_p0457a11║　若人于欲境　　系心而乐着
T17n0726_p0457a12║　后生于世间　　定受女身报
T17n0726_p0457a13║　若人厌女身　　舍欲持净戒
T17n0726_p0457a14║　发生坚固心　　转身作男子
T17n0726_p0457a15║　若人修梵行　　则无诸损恼
T17n0726_p0457a16║　具福德威神　　天人常恭敬
T17n0726_p0457a17║　若人不饮酒　　安住于正念
T17n0726_p0457a18║　常出真实言　　现获于安隐
T17n0726_p0457a19║　若见他相违　　劝喻令和悦
T17n0726_p0457a20║　感眷属广多　　无别离苦恼
T17n0726_p0457a21║　于师长教敕　　常欢喜听受
T17n0726_p0457a22║　损益更筹量　　则具善巧智
T17n0726_p0457a23║　贫窭执役者　　好行于捶打
T17n0726_p0457a24║　无过而恼他　　己苦更加苦
T17n0726_p0457a25║　若人具形色　　恃之而起慢
T17n0726_p0457a26║　戏弄于他人　　当获矬伛报
T17n0726_p0457a27║　若人性悭鄙　　善诱佯不闻
T17n0726_p0457a28║　彼极重愚痴　　当获聋哑报
T17n0726_p0457a29║　行善有余庆　　积恶招苦恼
T17n0726_p0457b01║　各成辨彼因　　随业定当受
T17n0726_p0457b02║人趣报竟
T17n0726_p0457b03║　常行于谄诳　　乐忿恚斗诤
T17n0726_p0457b04║　由昔行施故　　而作修罗主
T17n0726_p0457b05║修罗趣竟
T17n0726_p0457b06║　乐修十善因　　于他无损害
T17n0726_p0457b07║　诸天常获持　　得生四王天
T17n0726_p0457b08║　于父母三宝　　恭敬随能施
T17n0726_p0457b09║　具忍辱柔和　　得生忉利天
T17n0726_p0457b10║　自不乐忿诤　　劝他令和顺
T17n0726_p0457b11║　纯善修净因　　得生焰摩天
T17n0726_p0457b12║　乐多闻正法　　专修解脱惠
T17n0726_p0457b13║　喜赞他功德　　得生兜率天
T17n0726_p0457b14║　于施戒诸行　　自性常爱乐
T17n0726_p0457b15║　起精进勇猛　　得生变化天
T17n0726_p0457b16║　是最上有情　　具沙门梵行
T17n0726_p0457b17║　增长解脱因　　得生他化天
T17n0726_p0457b18║　以戒定熏修　　普资于愿力
T17n0726_p0457b19║　生天上人间　　达真如实际
T17n0726_p0457b20║　如是善恶报　　已分明显示
T17n0726_p0457b21║　作善招人天　　造恶萦极苦
T17n0726_p0457b22║　老病死未至　　勤思求正法
T17n0726_p0457b23║　自果报一来　　所爱皆离别
T17n0726_p0457b24║　彼贪等过失　　深可生厌患
T17n0726_p0457b25║　智者善思惟　　是故当远离
T17n0726_p0457b26║　若常行利他　　则无诸障恼
T17n0726_p0457b27║　罪福定无差　　略说宜谛听
T17n0726_p0457b28║六趣轮回经
